combo,yc_thresh,btts_home,btts_away,weeks,win_rate,avg_odds,ev
HA,5.0,2.0,1.8,197,0.772,1.284,0.991
HA,5.5,1.5,1.3,197,0.772,1.284,0.991
HA,5.5,1.5,1.5,197,0.772,1.284,0.991
HA,5.5,1.5,1.8,197,0.772,1.284,0.991
HA,5.5,1.8,1.3,197,0.772,1.284,0.991
HA,5.5,1.8,1.5,197,0.772,1.284,0.991
HA,5.5,1.8,1.8,197,0.772,1.284,0.991
HA,5.5,2.0,1.3,197,0.772,1.284,0.991
HA,5.5,2.0,1.5,197,0.772,1.284,0.991
HA,5.5,2.0,1.8,197,0.772,1.284,0.991
HA,6.0,1.5,1.3,197,0.772,1.284,0.991
HA,6.0,1.5,1.5,197,0.772,1.284,0.991
HA,6.0,1.5,1.8,197,0.772,1.284,0.991
HA,6.0,1.8,1.3,197,0.772,1.284,0.991
HA,6.0,1.8,1.5,197,0.772,1.284,0.991
HA,6.0,1.8,1.8,197,0.772,1.284,0.991
HA,6.0,2.0,1.3,197,0.772,1.284,0.991
HA,6.0,2.0,1.5,197,0.772,1.284,0.991
HA,6.0,2.0,1.8,197,0.772,1.284,0.991
HA+BTTS,3.5,2.0,1.8,178,0.388,2.696,1.045
HA+BTTS,4.0,2.0,1.8,178,0.388,2.696,1.045
HA+BTTS,4.5,2.0,1.8,178,0.388,2.696,1.045
HA+BTTS,5.0,2.0,1.8,178,0.388,2.696,1.045
HA+BTTS,5.5,2.0,1.8,178,0.388,2.696,1.045
HA+BTTS,6.0,2.0,1.8,178,0.388,2.696,1.045
HA+BTTS,3.5,1.8,1.5,191,0.387,2.696,1.044
HA+BTTS,4.0,1.8,1.5,191,0.387,2.696,1.044
HA+BTTS,4.5,1.8,1.5,191,0.387,2.696,1.044
HA+BTTS,5.0,1.8,1.5,191,0.387,2.696,1.044
HA+BTTS,5.5,1.8,1.5,191,0.387,2.696,1.044
HA+BTTS,6.0,1.8,1.5,191,0.387,2.696,1.044
HA+BTTS,3.5,1.8,1.8,187,0.385,2.701,1.04
HA+BTTS,4.0,1.8,1.8,187,0.385,2.701,1.04
HA+BTTS,4.5,1.8,1.8,187,0.385,2.701,1.04
HA+BTTS,5.0,1.8,1.8,187,0.385,2.701,1.04
HA+BTTS,5.5,1.8,1.8,187,0.385,2.701,1.04
HA+BTTS,6.0,1.8,1.8,187,0.385,2.701,1.04
HA+BTTS,3.5,2.0,1.5,190,0.379,2.693,1.021
HA+BTTS,4.0,2.0,1.5,190,0.379,2.693,1.021
HA+BTTS,4.5,2.0,1.5,190,0.379,2.693,1.021
HA+BTTS,5.0,2.0,1.5,190,0.379,2.693,1.021
HA+BTTS,5.5,2.0,1.5,190,0.379,2.693,1.021
HA+BTTS,6.0,2.0,1.5,190,0.379,2.693,1.021
HA+BTTS,3.5,1.5,1.5,194,0.366,2.697,0.987
HA+BTTS,4.0,1.5,1.5,194,0.366,2.697,0.987
HA+BTTS,4.5,1.5,1.5,194,0.366,2.697,0.987
HA+BTTS,5.0,1.5,1.5,194,0.366,2.697,0.987
HA+BTTS,5.5,1.5,1.5,194,0.366,2.697,0.987
HA+BTTS,6.0,1.5,1.5,194,0.366,2.697,0.987
HA+BTTS,3.5,1.5,1.8,192,0.365,2.697,0.983
HA+BTTS,4.0,1.5,1.8,192,0.365,2.697,0.983
HA+BTTS,4.5,1.5,1.8,192,0.365,2.697,0.983
HA+BTTS,5.0,1.5,1.8,192,0.365,2.697,0.983
HA+BTTS,5.5,1.5,1.8,192,0.365,2.697,0.983
HA+BTTS,6.0,1.5,1.8,192,0.365,2.697,0.983
HA+BTTS,3.5,1.8,1.3,197,0.34,2.696,0.917
HA+BTTS,4.0,1.8,1.3,197,0.34,2.696,0.917
HA+BTTS,4.5,1.8,1.3,197,0.34,2.696,0.917
HA+BTTS,5.0,1.8,1.3,197,0.34,2.696,0.917
HA+BTTS,5.5,1.8,1.3,197,0.34,2.696,0.917
HA+BTTS,6.0,1.8,1.3,197,0.34,2.696,0.917
HA+BTTS,3.5,2.0,1.3,196,0.332,2.697,0.895
HA+BTTS,4.0,2.0,1.3,196,0.332,2.697,0.895
